[host] embedded mode: perry staticlib in-process
[host] perry_module_init done in 16.9469ms
[host] frontend hello: {"t":"hello","proto":1,"title":"PerryTS × GPUI"}
[host] window opened
FLUSH 1790015905153 n=1
FLUSH 1790015905200 n=2
FLUSH 1790015905702 n=2
FLUSH 1790015906152 n=1
FLUSH 1790015906203 n=2
FLUSH 1790015906718 n=2
FLUSH 1790015907167 n=1
FLUSH 1790015907233 n=2
FLUSH 1790015907734 n=2
FLUSH 1790015908185 n=1
FLUSH 1790015908234 n=2
FLUSH 1790015908751 n=2
FLUSH 1790015909186 n=1
FLUSH 1790015909251 n=2
FLUSH 1790015909751 n=2
FLUSH 1790015910185 n=1
FLUSH 1790015910251 n=2
FLUSH 1790015910766 n=2
FLUSH 1790015911201 n=1
FLUSH 1790015911268 n=2
FLUSH 1790015911785 n=2
FLUSH 1790015912201 n=1
FLUSH 1790015912301 n=2
FLUSH 1790015912804 n=2
FLUSH 1790015913218 n=1
FLUSH 1790015913318 n=2
FLUSH 1790015913832 n=2
FLUSH 1790015914218 n=1
FLUSH 1790015914333 n=2
FLUSH 1790015914834 n=2
FLUSH 1790015915230 n=1
FLUSH 1790015915333 n=2
FLUSH 1790015915852 n=2
FLUSH 1790015916235 n=1
FLUSH 1790015916367 n=2
FLUSH 1790015916884 n=2
FLUSH 1790015917250 n=1
FLUSH 1790015917385 n=2
FLUSH 1790015917899 n=2
FLUSH 1790015918251 n=1
FLUSH 1790015918417 n=2
FLUSH 1790015918934 n=2
FLUSH 1790015919267 n=1
FLUSH 1790015919434 n=2
FLUSH 1790015919951 n=2
FLUSH 1790015920284 n=1
FLUSH 1790015920466 n=2
FLUSH 1790015920983 n=2
FLUSH 1790015921299 n=1
FLUSH 1790015921485 n=2
FLUSH 1790015921984 n=2
FLUSH 1790015922301 n=1
FLUSH 1790015922502 n=2
FLUSH 1790015923000 n=2
FLUSH 1790015923300 n=1
FLUSH 1790015923519 n=2
FLUSH 1790015924020 n=2
FLUSH 1790015924303 n=1
FLUSH 1790015924537 n=2
FLUSH 1790015925038 n=2
FLUSH 1790015925307 n=1
FLUSH 1790015925540 n=2
FLUSH 1790015926051 n=2
FLUSH 1790015926302 n=1
FLUSH 1790015926569 n=2
FLUSH 1790015927090 n=2
FLUSH 1790015927323 n=1
FLUSH 1790015927590 n=2
FLUSH 1790015928105 n=2
FLUSH 1790015928322 n=1
FLUSH 1790015928605 n=2
FLUSH 1790015929117 n=2
FLUSH 1790015929334 n=1
FLUSH 1790015929617 n=2
FLUSH 1790015930134 n=2
FLUSH 1790015930335 n=1
FLUSH 1790015930650 n=2
FLUSH 1790015931166 n=2
FLUSH 1790015931351 n=1
